caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-26028-596107,Certified,,2026-02-04T00:00:00,"Anthropic, PBC",Finance Systems,13-2011.00,Accountants and Auditors,Y,152152,265000,Year,141378,Year,San Francisco,CA,94105,152152,FY2026_Q3
I-200-26028-596108,Certified,,2026-02-04T00:00:00,"Anthropic, PBC",Marketing,13-1161.00,Market Research Analysts and Marketing Specialists,Y,159328,200000,Year,159328,Year,San Francisco,CA,94105,159328,FY2026_Q3
I-200-26031-610987,Certified,,2026-02-06T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,280000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26031-610988,Certified,,2026-02-06T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,350000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26031-611032,Certified,,2026-02-06T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187741,350000,Year,161637,Year,San Francisco,CA,94105,187741,FY2026_Q3
I-200-26034-617047,Certified,,2026-02-10T00:00:00,"Anthropic, PBC",Member of Technical Staff (Manager),11-3021.00,Computer and Information Systems Managers,Y,274456,405000,Year,274456,Year,San Francisco,CA,94105,274456,FY2026_Q3
I-200-26036-621032,Certified,,2026-02-11T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26036-621041,Certified,,2026-02-11T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,405000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26036-622166,Certified,,2026-02-12T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,500000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26036-623338,Certified,,2026-02-12T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,264514,320000,Year,213512,Year,San Francisco,CA,94105,264514,FY2026_Q3
I-200-26036-623391,Certified,,2026-02-12T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26036-623465,Certified,,2026-02-12T00:00:00,"Anthropic, PBC","Member of Technical Staff, Reinforcement Learning Researcher",13-2099.01,Financial Quantitative Analysts,Y,112778,500000,Year,96512,Year,San Francisco,CA,94105,112778,FY2026_Q3
I-200-26041-631556,Certified,,2026-02-18T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26041-632354,Certified,,2026-02-18T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-2051.00,Data Scientists,Y,164403,350000,Year,164403,Year,San Francisco,CA,94105,164403,FY2026_Q3
I-200-26044-638723,Certified,,2026-02-20T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1221.00,Computer and Information Research Scientists,Y,185723,850000,Year,171621,Year,San Francisco,CA,94105,185723,FY2026_Q3
I-200-26044-640571,Certified,,2026-02-23T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,187574,350000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26044-640608,Certified,,2026-02-23T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,264514,850000,Year,213512,Year,San Francisco,CA,94105,264514,FY2026_Q3
I-200-26050-651967,Certified,,2026-02-26T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-2051.00,Data Scientists,Y,194834,850000,Year,194834,Year,San Francisco,CA,94105,194834,FY2026_Q3
I-200-26051-653034,Certified,,2026-02-26T00:00:00,"Anthropic, PBC",FINANCE & STRATEGY,13-2051.00,Financial and Investment Analysts,Y,182978,310000,Year,182978,Year,San Francisco,CA,94105,182978,FY2026_Q3
I-200-26051-653367,Certified,,2026-02-27T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,264514,850000,Year,213512,Year,San Francisco,CA,94105,264514,FY2026_Q3
I-200-26051-654196,Certified,,2026-02-27T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,161637,280000,Year,161637,Year,San Francisco,CA,94105,161637,FY2026_Q3
I-200-26051-654862,Certified,,2026-02-27T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1221.00,Computer and Information Research Scientists,Y,164403,500000,Year,134139,Year,San Francisco,CA,94105,164403,FY2026_Q3
I-200-26055-660797,Certified,,2026-03-03T00:00:00,"Anthropic, PBC",Compute Capacity,15-2051.00,Data Scientists,Y,275850,290000,Year,194834,Year,San Francisco,CA,94105,275850,FY2026_Q3
I-200-26057-666856,Certified,,2026-03-05T00:00:00,"Anthropic, PBC",Finance Systems,15-2051.01,Business Intelligence Analysts,Y,275850,315000,Year,194834,Year,San Francisco,CA,94105,275850,FY2026_Q3
I-200-26057-666881,Certified,,2026-03-05T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1221.00,Computer and Information Research Scientists,Y,164403,500000,Year,134139,Year,San Francisco,CA,94105,164403,FY2026_Q3
I-200-26065-684370,Certified,,2026-03-13T00:00:00,"Anthropic, PBC",Member of Technical Staff,17-2061.00,Computer Hardware Engineers,Y,229590,500000,Year,210642,Year,San Francisco,CA,94105,229590,FY2026_Q3
I-200-26069-692507,Certified,,2026-03-17T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26071-700418,Certified,,2026-03-19T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,161637,280000,Year,161637,Year,San Francisco,CA,94105,161637,FY2026_Q3
I-200-26071-700428,Certified,,2026-03-19T00:00:00,"Anthropic, PBC",Accounting,13-2011.00,Accountants and Auditors,Y,141378,230000,Year,141378,Year,San Francisco,CA,94105,141378,FY2026_Q3
I-200-26076-709164,Certified,,2026-03-24T00:00:00,"Anthropic, PBC",Applied AI Architects,41-9031.00,Sales Engineers,Y,128190,240000,Year,125923,Year,San Francisco,CA,94105,128190,FY2026_Q3
I-200-26076-710205,Certified,,2026-03-24T00:00:00,"Anthropic, PBC",Finance & Strategy,13-2051.00,Financial and Investment Analysts,Y,182978,235000,Year,182978,Year,San Francisco,CA,94105,182978,FY2026_Q3
I-200-26076-710450,Certified,,2026-03-24T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,280000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26076-710451,Certified,,2026-03-24T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-2051.00,Data Scientists,Y,133952,350000,Year,133952,Year,San Francisco,CA,94105,133952,FY2026_Q3
I-200-26078-714204,Certified,,2026-03-25T00:00:00,"Anthropic, PBC",Commercial Counsel,23-1011.00,Lawyers,Y,198765,265000,Year,198765,Year,San Francisco,CA,94105,198765,FY2026_Q3
I-200-26078-714209,Certified,,2026-03-25T00:00:00,"Anthropic, PBC",Data Science,15-2051.00,Data Scientists,Y,194834,370000,Year,194834,Year,San Francisco,CA,94105,194834,FY2026_Q3
I-200-26078-717052,Certified - Withdrawn,,2026-06-15T00:00:00,"Anthropic, PBC",Member of Technical Staff (Manager),15-1221.00,Computer and Information Research Scientists,Y,134139,850000,Year,134139,Year,San Francisco,CA,94105,134139,FY2026_Q3
I-200-26082-722036,Certified,,2026-03-30T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26082-722039,Certified,,2026-03-30T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1241.00,Computer Network Architects,Y,218171,320000,Year,184330,Year,San Francisco,CA,94105,218171,FY2026_Q3
I-200-26085-733044,Certified,,2026-04-02T00:00:00,"Anthropic, PBC",Member of Technical Staff (Claude Apps Infrastructure),15-1252.00,Software Developers,Y,213512,320000,Year,213512,Year,San Francisco,CA,94105,213512,FY2026_Q3
I-200-26086-737491,Certified,,2026-04-03T00:00:00,"Anthropic, PBC",Applied AI Technical Deployment,15-1299.09,Information Technology Project Managers,Y,185994,275000,Year,185994,Year,San Francisco,CA,94105,185994,FY2026_Q3
I-200-26090-743192,Certified,,2026-04-07T00:00:00,"Anthropic, PBC","Member of Technical Staff, Data Infrastructure",15-1243.00,Database Architects,Y,210746,320000,Year,204214,Year,San Francisco,CA,94105,210746,FY2026_Q3
